level_0,level_1,Name,join_artists,Score,Song_top,Song_attr
426,2651,1.0,1.0,2.0,Dennis Lloyd - Nevermind,Dennis Lloyd - Nevermind
443,2828,1.0,1.0,2.0,Drake - 4422,Drake - 4422
449,2843,1.0,1.0,2.0,Drake - Blem,Drake - Blem
451,2845,1.0,1.0,2.0,Drake - Can't Have Everything,Drake - Can't Have Everything
456,2849,1.0,1.0,2.0,Drake - Do Not Disturb,Drake - Do Not Disturb
467,2857,1.0,1.0,2.0,Drake - Free Smoke,Drake - Free Smoke
468,2800,1.0,1.0,2.0,Drake - Get It Together,Drake - Get It Together
472,2859,1.0,1.0,2.0,Drake - Gyalchester,Drake - Gyalchester
476,2833,1.0,1.0,2.0,Drake - Ice Melts,Drake - Ice Melts
481,2814,1.0,1.0,2.0,Drake - KMT,Drake - KMT
486,2869,1.0,1.0,2.0,Drake - Madiba Riddim,Drake - Madiba Riddim
494,2875,1.0,1.0,2.0,Drake - Nothings Into Somethings,Drake - Nothings Into Somethings
498,2877,1.0,1.0,2.0,Drake - Passionfruit,Drake - Passionfruit
500,2825,1.0,1.0,2.0,Drake - Portland,Drake - Portland
505,2799,1.0,1.0,2.0,Drake - Sacrifices,Drake - Sacrifices
507,2883,1.0,1.0,2.0,Drake - Signs,Drake - Signs
516,2890,1.0,1.0,2.0,Drake - Teenage Fever,Drake - Teenage Fever
538,2942,1.0,1.0,2.0,Dua Lipa - IDGAF,Dua Lipa - IDGAF
539,2944,1.0,1.0,2.0,Dua Lipa - New Rules,Dua Lipa - New Rules
544,2960,1.0,1.0,2.0,Dustin Lynch - Small Town Boy,Dustin Lynch - Small Town Boy
546,2966,1.0,1.0,2.0,Dylan Scott - Hooked,Dylan Scott - Hooked
548,3000,1.0,1.0,2.0,Easton Corbin - A Girl Like You,Easton Corbin - A Girl Like You
550,3015,1.0,1.0,2.0,Ed Sheeran - Barcelona,Ed Sheeran - Barcelona
551,3016,1.0,1.0,2.0,Ed Sheeran - Castle On The Hill,Ed Sheeran - Castle on the Hill
553,3017,1.0,1.0,2.0,Ed Sheeran - Dive,Ed Sheeran - Dive
555,3018,1.0,1.0,2.0,Ed Sheeran - Galway Girl,Ed Sheeran - Galway Girl
556,3019,1.0,1.0,2.0,Ed Sheeran - Happier,Ed Sheeran - Happier
557,3020,1.0,1.0,2.0,Ed Sheeran - Hearts Don't Break Around Here,Ed Sheeran - Hearts Don't Break Around Here
559,3023,1.0,1.0,2.0,Ed Sheeran - New Man,Ed Sheeran - New Man
560,3024,1.0,1.0,2.0,Ed Sheeran - Perfect,Ed Sheeran - Perfect
561,3026,1.0,1.0,2.0,Ed Sheeran - Shape Of You,Ed Sheeran - Shape of You
562,3027,1.0,1.0,2.0,Ed Sheeran - Supermarket Flowers,Ed Sheeran - Supermarket Flowers
563,3028,1.0,1.0,2.0,Ed Sheeran - What Do I Know?,Ed Sheeran - What Do I Know?
566,3085,1.0,1.0,2.0,Ella Mai - Boo'd Up,Ella Mai - Boo'd Up
605,3283,1.0,1.0,2.0,Farruko - Krippy Kush,Farruko - Krippy Kush
635,3423,1.0,1.0,2.0,Foster The People - Sit Next To Me,Foster The People - Sit Next to Me
636,3440,1.0,1.0,2.0,Frank Ocean - Chanel,Frank Ocean - Chanel
646,3488,1.0,1.0,2.0,French Montana - Unforgettable,French Montana - Unforgettable
664,3574,1.0,1.0,2.0,Future - Mask Off,Future - Mask Off
668,3577,1.0,1.0,2.0,Future - Rent Money,Future - Rent Money
685,3558,1.0,1.0,2.0,Future - No Cap,Future - No Cap
